timestamp,vwap,actual_vwap,lstm_forecast,trf_forecast
2025-05-07 04:00:00,200.7141,200.7141,201.40173,202.08505
2025-05-07 04:01:00,200.4576,200.4576,200.92049,201.90291
2025-05-07 04:02:00,200.7185,200.7185,201.15968,203.06335
2025-05-07 04:03:00,200.702,200.702,201.19275,202.0887
2025-05-07 04:04:00,200.4947,200.4947,201.00926,202.2974
2025-05-07 04:05:00,200.4634,200.4634,200.64197,202.37718
2025-05-07 04:06:00,200.3739,200.3739,201.23257,202.01663
2025-05-07 04:07:00,200.3279,200.3279,201.24847,202.45525
2025-05-07 04:08:00,200.3058,200.3058,201.28656,202.2418
2025-05-07 04:09:00,200.245,200.245,200.86794,201.69931
2025-05-07 04:10:00,200.2484,200.2484,200.90428,201.97733
2025-05-07 04:11:00,200.243,200.243,201.05052,203.04666
2025-05-07 04:12:00,200.3465,200.3465,200.84096,202.63657
2025-05-07 04:13:00,200.4843,200.4843,200.82341,201.81143
2025-05-07 04:14:00,200.5127,200.5127,201.22137,201.64377
2025-05-07 04:15:00,200.47635,200.47635,200.81631,202.66348
2025-05-07 04:16:00,200.44,200.44,201.49434,201.50551
2025-05-07 04:17:00,200.3293,200.3293,200.96768,202.05127
2025-05-07 04:18:00,200.36964999999998,200.36964999999998,200.86668,201.96262
2025-05-07 04:19:00,200.41,200.41,201.26175,202.73737
2025-05-07 04:20:00,200.42123333333333,200.42123333333333,201.06616,201.57935
2025-05-07 04:21:00,200.43246666666667,200.43246666666667,200.90533,202.18877
2025-05-07 04:22:00,200.4437,200.4437,200.70198,202.06277
2025-05-07 04:23:00,200.4862,200.4862,200.78984,201.98909
2025-05-07 04:24:00,200.5035,200.5035,200.47424,202.29568
2025-05-07 04:25:00,200.4246,200.4246,201.49217,201.81972
2025-05-07 04:26:00,200.5493,200.5493,200.94722,202.4831
2025-05-07 04:27:00,200.54784999999998,200.54784999999998,201.37708,201.44096
2025-05-07 04:28:00,200.5464,200.5464,201.06435,201.62798
2025-05-07 04:29:00,200.5352,200.5352,201.22096,202.38148
2025-05-07 04:30:00,200.5573,200.5573,201.11636,201.65182
2025-05-07 04:31:00,200.5794,200.5794,201.22273,201.97186
2025-05-07 04:32:00,200.6015,200.6015,200.64618,202.32416
2025-05-07 04:33:00,200.63503333333333,200.63503333333333,201.08736,202.13821
2025-05-07 04:34:00,200.66856666666666,200.66856666666666,200.94173,201.82785
2025-05-07 04:35:00,200.7021,200.7021,200.87863,202.84053
2025-05-07 04:36:00,200.6768,200.6768,200.82132,202.53221
2025-05-07 04:37:00,200.63125,200.63125,201.44946,201.85059
2025-05-07 04:38:00,200.5857,200.5857,200.9614,202.38994
2025-05-07 04:39:00,200.5811,200.5811,200.66885,201.99533
2025-05-07 04:40:00,200.57094999999998,200.57094999999998,200.7539,202.24428
2025-05-07 04:41:00,200.5608,200.5608,200.83217,202.77792
2025-05-07 04:42:00,200.55065000000002,200.55065000000002,201.5184,202.58185
2025-05-07 04:43:00,200.5405,200.5405,200.92093,202.32755
2025-05-07 04:44:00,200.5788,200.5788,200.6159,202.40665
2025-05-07 04:45:00,200.5862,200.5862,200.97147,202.1201
2025-05-07 04:46:00,200.6212,200.6212,200.94202,202.35287
2025-05-07 04:47:00,200.593725,200.593725,200.97903,202.04793
2025-05-07 04:48:00,200.56625,200.56625,201.4392,202.02979
2025-05-07 04:49:00,200.538775,200.538775,200.9612,201.25464
2025-05-07 04:50:00,200.5113,200.5113,200.9301,202.41602
2025-05-07 04:51:00,200.5334,200.5334,201.23607,202.67432
2025-05-07 04:52:00,200.5555,200.5555,200.86569,202.48926
2025-05-07 04:53:00,200.57760000000002,200.57760000000002,201.13039,201.52843
2025-05-07 04:54:00,200.5997,200.5997,200.79991,203.11552
2025-05-07 04:55:00,200.6218,200.6218,200.53455,202.66606
2025-05-07 04:56:00,200.6439,200.6439,200.61513,201.6901
2025-05-07 04:57:00,200.666,200.666,200.96683,201.45827
2025-05-07 04:58:00,200.6881,200.6881,200.59952,202.24248
2025-05-07 04:59:00,200.7102,200.7102,200.7355,201.7351
2025-05-07 05:00:00,200.7323,200.7323,200.79463,200.54942
2025-05-07 05:01:00,200.7544,200.7544,201.57758,202.09372
2025-05-07 05:02:00,200.7765,200.7765,200.8111,201.86821
2025-05-07 05:03:00,200.78505,200.78505,201.16644,202.90718
2025-05-07 05:04:00,200.7936,200.7936,200.79979,202.31252
2025-05-07 05:05:00,200.76948,200.76948,201.20988,202.6897
2025-05-07 05:06:00,200.74536,200.74536,200.94304,202.68758
2025-05-07 05:07:00,200.72124,200.72124,200.63766,202.41023
2025-05-07 05:08:00,200.69712,200.69712,200.93669,202.54927
2025-05-07 05:09:00,200.673,200.673,200.61868,201.93034
2025-05-07 05:10:00,200.59465,200.59465,200.47398,201.57991
2025-05-07 05:11:00,200.5163,200.5163,200.49983,201.39835
2025-05-07 05:12:00,200.5142,200.5142,200.89877,201.96292
2025-05-07 05:13:00,200.5276,200.5276,201.13737,202.19438
2025-05-07 05:14:00,200.541,200.541,200.44301,201.90479
2025-05-07 05:15:00,200.5544,200.5544,201.15297,202.30972
2025-05-07 05:16:00,200.5678,200.5678,200.6831,202.46921
2025-05-07 05:17:00,200.576575,200.576575,200.81934,202.1175
2025-05-07 05:18:00,200.58535,200.58535,200.71577,202.18768
2025-05-07 05:19:00,200.59412500000002,200.59412500000002,200.93849,201.32767
2025-05-07 05:20:00,200.6029,200.6029,201.09805,201.18971
2025-05-07 05:21:00,200.499,200.499,200.67163,202.07103
