timestamp,prophet_vwap,arima_vwap
2025-05-08 09:30:00-04:00,211.188603203662,198.5319659212592
2025-05-08 09:31:00-04:00,211.19874724537624,198.5294531612705
2025-05-08 09:32:00-04:00,211.2085841033882,198.52930812632448
2025-05-08 09:33:00-04:00,211.21811765553346,198.52929975499745
2025-05-08 09:34:00-04:00,211.22735176147026,198.52929927180966
2025-05-08 09:35:00-04:00,211.2362902649284,198.52929924392038
2025-05-08 09:36:00-04:00,211.2449369913141,198.52929924231063
2025-05-08 09:37:00-04:00,211.25329574891944,198.52929924221772
2025-05-08 09:38:00-04:00,211.26137032914372,198.52929924221235
2025-05-08 09:39:00-04:00,211.26916450597128,198.52929924221203
2025-05-08 09:40:00-04:00,211.2766820355479,198.529299242212
2025-05-08 09:41:00-04:00,211.2839266564587,198.529299242212
2025-05-08 09:42:00-04:00,211.29090209061525,198.529299242212
2025-05-08 09:43:00-04:00,211.2976120417506,198.529299242212
2025-05-08 09:44:00-04:00,211.3040601959352,198.529299242212
2025-05-08 09:45:00-04:00,211.3102502226224,198.529299242212
2025-05-08 09:46:00-04:00,211.31618577260073,198.529299242212
2025-05-08 09:47:00-04:00,211.3218704800656,198.529299242212
2025-05-08 09:48:00-04:00,211.3273079608175,198.529299242212
2025-05-08 09:49:00-04:00,211.33250181385557,198.529299242212
2025-05-08 09:50:00-04:00,211.33745562005666,198.529299242212
2025-05-08 09:51:00-04:00,211.3421729426614,198.529299242212
2025-05-08 09:52:00-04:00,211.34665732780496,198.529299242212
2025-05-08 09:53:00-04:00,211.35091230358378,198.529299242212
2025-05-08 09:54:00-04:00,211.3549413809418,198.529299242212
2025-05-08 09:55:00-04:00,211.35874805260394,198.529299242212
2025-05-08 09:56:00-04:00,211.36233579454753,198.529299242212
2025-05-08 09:57:00-04:00,211.36570806446244,198.529299242212
2025-05-08 09:58:00-04:00,211.36886830263447,198.529299242212
2025-05-08 09:59:00-04:00,211.37181993217814,198.529299242212
2025-05-08 10:00:00-04:00,211.37456635813095,198.529299242212
2025-05-08 10:01:00-04:00,211.3771109680788,198.529299242212
2025-05-08 10:02:00-04:00,211.379457132281,198.529299242212
2025-05-08 10:03:00-04:00,211.38160820340684,198.529299242212
2025-05-08 10:04:00-04:00,211.38356751636843,198.529299242212
2025-05-08 10:05:00-04:00,211.38533838842903,198.529299242212
2025-05-08 10:06:00-04:00,211.38692411981023,198.529299242212
2025-05-08 10:07:00-04:00,211.38832799259677,198.529299242212
2025-05-08 10:08:00-04:00,211.38955327170288,198.529299242212
2025-05-08 10:09:00-04:00,211.39060320428024,198.529299242212
2025-05-08 10:10:00-04:00,211.39148102009366,198.529299242212
2025-05-08 10:11:00-04:00,211.39218993110705,198.529299242212
2025-05-08 10:12:00-04:00,211.39273313177074,198.529299242212
2025-05-08 10:13:00-04:00,211.3931137991095,198.529299242212
2025-05-08 10:14:00-04:00,211.39333509236107,198.529299242212
2025-05-08 10:15:00-04:00,211.39340015308764,198.529299242212
2025-05-08 10:16:00-04:00,211.3933121054257,198.529299242212
2025-05-08 10:17:00-04:00,211.39307405561712,198.529299242212
2025-05-08 10:18:00-04:00,211.39268909242503,198.529299242212
2025-05-08 10:19:00-04:00,211.39216028666135,198.529299242212
2025-05-08 10:20:00-04:00,211.39149069163767,198.529299242212
2025-05-08 10:21:00-04:00,211.39068334268458,198.529299242212
2025-05-08 10:22:00-04:00,211.389741257404,198.529299242212
2025-05-08 10:23:00-04:00,211.38866743557,198.529299242212
2025-05-08 10:24:00-04:00,211.3874648590181,198.529299242212
2025-05-08 10:25:00-04:00,211.38613649162926,198.529299242212
2025-05-08 10:26:00-04:00,211.38468527935441,198.529299242212
2025-05-08 10:27:00-04:00,211.38311415003142,198.529299242212
2025-05-08 10:28:00-04:00,211.3814260134605,198.529299242212
2025-05-08 10:29:00-04:00,211.3796237612395,198.529299242212
2025-05-08 10:30:00-04:00,211.3777102667611,198.529299242212
2025-05-08 10:31:00-04:00,211.375688385152,198.529299242212
2025-05-08 10:32:00-04:00,211.37356095310014,198.529299242212
2025-05-08 10:33:00-04:00,211.371330788971,198.529299242212
2025-05-08 10:34:00-04:00,211.3690006924883,198.529299242212
2025-05-08 10:35:00-04:00,211.3665734448665,198.529299242212
2025-05-08 10:36:00-04:00,211.3640518086718,198.529299242212
2025-05-08 10:37:00-04:00,211.36143852752247,198.529299242212
2025-05-08 10:38:00-04:00,211.35873632632362,198.529299242212
2025-05-08 10:39:00-04:00,211.35594791103972,198.529299242212
2025-05-08 10:40:00-04:00,211.35307596834417,198.529299242212
2025-05-08 10:41:00-04:00,211.35012316600222,198.529299242212
2025-05-08 10:42:00-04:00,211.34709215220994,198.529299242212
2025-05-08 10:43:00-04:00,211.34398555604974,198.529299242212
2025-05-08 10:44:00-04:00,211.3408059867222,198.529299242212
2025-05-08 10:45:00-04:00,211.33755603412664,198.529299242212
2025-05-08 10:46:00-04:00,211.33423826826444,198.529299242212
2025-05-08 10:47:00-04:00,211.33085523914315,198.529299242212
2025-05-08 10:48:00-04:00,211.3274094766436,198.529299242212
2025-05-08 10:49:00-04:00,211.3239034906636,198.529299242212
2025-05-08 10:50:00-04:00,211.32033977088165,198.529299242212
2025-05-08 10:51:00-04:00,211.3167207859818,198.529299242212
2025-05-08 10:52:00-04:00,211.31304898450148,198.529299242212
2025-05-08 10:53:00-04:00,211.3093267942115,198.529299242212
2025-05-08 10:54:00-04:00,211.30555662140495,198.529299242212
2025-05-08 10:55:00-04:00,211.30174085196631,198.529299242212
